id,category,name,subtitle,url,date_published,rating_value,rating_count,rating_ratio,price_category,price,price_currency,has_in_app_purchases,author_name,author_url,description
544007664,Photo & Video,"YouTube: Watch, Listen, Stream","Videos, Music and Live Streams",https://apps.apple.com/us/app/youtube-watch-listen-stream/id544007664,2012-09-10,4.7,12111151,85-9-3-1-3,free,0,USD,Offers In-App Purchases,Google LLC,https://apps.apple.com/us/developer/google-llc/id281956209,"Make watching your favorite videos easier with the YouTube app. Explore brand new content, music, news and more with the official YouTube app for iPhone and iPad. Discover even more with the official YouTube app. Subscribe to channels with your favorite content, share them with friends or upload your very own videos for everyone to see. Get more out of your video streaming app and discover even more with YouTube. YOUTUBE FEATURES: DISCOVER BRAND NEW CONTENT - Browse YouTube’s personal recommendations on the home tab - Watch the hottest videos, from music to viral sensations on the trending tab - Like something? Tap like to save to your personal list or share with your friends! STREAM MUSIC - Find the videos of the latest hits!  - Watch fresh releases from popular and trending artists LIVE STREAMS &amp; MORE - Get the latest news or watch your favorite popular live streams right on your device! LEARN FROM THE BEST - Practice and learn alongside the best online - Watch videos and learn any skill you need  - Explore thousands of videos for makeup, DIY, tips and more! CONNECT AND SHARE - Let people know how you feel with likes, comments, or shares - Directly share your friends favorite videos with your friends - Make a playlist that saves your favorite videos - See the latest from the creators you follow on the subscriptions tab Download the official YouTube app and start watching your favorite videos today! SUPPORT YOUR FAVORITE CREATORS WITH CHANNEL MEMBERSHIPS - Support the channel you love with monthly recurring payments - Stand out in comments and live chat with a loyalty badge next to your username - Get access to exclusive perks from the channel WITH YOUTUBE PREMIUM, GET YOUTUBE AD-FREE, OFFLINE, AND IN THE BACKGROUND. - Watch the videos you love without ads! - Play videos in the background, even when you open another app - Download videos for when you're low on data or can't get online If you subscribe via iTunes: Payment will be charged to iTunes Account at confirmation of purchase. Subscription automatically renews unless auto-renew is turned off at least 24 hours before the end of the current period. Account will be charged for renewal within 24 hours prior to the end of the current period at the rate of the selected plan. Subscriptions and auto-renewal may be managed by going to Account Settings after purchase Any unused portion of a free trial period will be forfeited when purchasing a subscription. Monthly price: $15.99 YouTube paid service terms: https://www.youtube.com/t/terms_paidservice Privacy policy: https://www.google.com/policies/privacy"
389801252,Photo & Video,Instagram,,https://apps.apple.com/us/app/instagram/id389801252,2010-10-05,4.8,15542768,87-8-2-1-2,free,0,USD,No,"Instagram, Inc.",https://apps.apple.com/us/developer/instagram-inc/id389801255,"Bringing you closer to the people and things you love. — Instagram from Facebook Connect with friends, share what you’re up to, or see what's new from others all over the world. Explore our community where you can feel free to be yourself and share everything from your daily moments to life's highlights. Express Yourself and Connect With Friends - Add photos and videos to your story that disappear after 24 hours, and bring them to life with fun creative tools. - Message your friends in Direct. Start fun conversations about what you see on Feed and Stories. - Post photos and videos to your feed that you want to show on your profile. Learn More About Your Interests - Check out IGTV for longer videos from your favorite creators. - Get inspired by photos and videos from new accounts in Explore. - Discover brands and small businesses, and shop products that are relevant to your personal style."
447188370,Photo & Video,Snapchat,Share the moment!,https://apps.apple.com/us/app/snapchat/id447188370,2011-07-12,3.8,254069,56-13-8-5-18,free,0,USD,Offers In-App Purchases,"Snap, Inc.",https://apps.apple.com/us/developer/snap-inc/id446889612,"Snapchat is the most fun way to share the moment! Take a Snap, add a caption or fun effects, then send it to your best friends. SNAP • Snapchat opens right to the camera so you can share the moment in seconds. • New selfie Lenses and Filters are added every day. Change the way you look, dance with your 3D Bitmoji, and even play games with your face! CHAT • Stay in touch with friends and groups with live messaging and Group Stories. • Video chat with up to 16 friends at once. You can even use Filters and Lenses! DISCOVER • Follow your friends and watch their daily Story. • Watch breaking news, original Shows, and community Stories — made just for your phone. SNAP MAP • See where your friends are hanging out, if they’ve shared their location with you. • Watch live Stories from the community nearby, or across the world! MEMORIES • Look back on Snaps you’ve saved with free cloud storage. • Create Stories from your favorite memories to share with friends and family. FRIENDSHIP PROFILE • Every friendship has its own special profile to see the moments you’ve saved together. • Discover new things you have in common with Charms. See how long you’ve been friends, your astrological compatibility, and more! Happy Snapping! • • • Please note: Snapchatters can always capture or save your messages by taking a screenshot, using a camera, or otherwise. Be mindful of what you Snap!"
377298193,Photo & Video,iMovie,Turn videos into movie magic,https://apps.apple.com/us/app/imovie/id377298193,2010-06-23,3.9,62107,56-15-9-6-14,free,0,USD,No,Apple,https://apps.apple.com/us/developer/apple/id284417353?mt=12,"With a streamlined design and intuitive Multi-Touch gestures, iMovie lets you create Hollywood-style trailers and beautiful movies like never before. Make Hollywood-style trailers • Choose from 14 trailer templates with stunning graphics and original scores by some of the world’s top film composers • Customize movie studio logos, cast names, and credits • Select the best videos and photos for your trailer with the help of animated drop zones • Record video for your trailer right in iMovie Create beautiful movies • Choose from 8 unique themes with matching titles, transitions, and music • Give your movie the perfect look with 10 Apple-designed video filters 	•	Enhance your movie with slow motion and fast forward* 	•	Easily add picture in picture, green screen, and split screen effects 	•	Create a soundtrack using built-in music that automatically adjusts to match the length of your movie  	•	Add sound effects, songs from your music library, and your own narration • Connect a keyboard and use simple shortcuts to edit movies quickly iMovie everywhere • Easily transfer projects between your iPhone, iPad, and iPod touch using AirDrop or iCloud Drive • Send any project to your Mac via AirDrop or iCloud Drive to finish editing with iMovie or Final Cut Pro X • Connect an external display to your iPhone or iPad and choose to mirror the iMovie interface or display your video fullscreen while you edit** Share with friends and family • Send videos with Mail and Messages • Save to your photo library or share to YouTube in 4K or 1080p60*** • Save videos and iMovie project files to iCloud Drive • Share videos and iMovie project files with AirDrop**** • Use AirPlay to wirelessly stream video to your HDTV with Apple TV***** * 2x speed-up is available on iPhone 5s, iPad Air, iPad mini with Retina display, and later devices. ** Requires iPhone 7 or later, iPad (6th generation) or iPad Pro (2017) or later *** 4K support is available on iPhone 6s, iPhone 6s Plus, iPad Air 2, iPad Pro, and later devices. **** AirDrop requires an iCloud account and is available on iPhone 5, iPad (4th generation), iPad Air, iPad mini, iPod touch (5th generation), and later devices. ***** AirPlay requires Apple TV (2nd generation) or later."
962194608,Photo & Video,Google Photos,Smart Photo and Video Storage,https://apps.apple.com/us/app/google-photos/id962194608,2015-05-27,4.7,227196,85-9-2-1-2,free,0,USD,Offers In-App Purchases,Google LLC,https://apps.apple.com/us/developer/google-llc/id281956209,"Google Photos is a smarter home for all your photos and videos, made for the way you take photos today. “The best photo product on Earth” – The Verge “Google Photos is your new essential picture app” – Wired “Upload the pictures, and let Google Photos do the rest” – The New York Times • FREE UP SPACE: Never worry about running out of space on your phone again. Photos that are safely backed up can be removed from your device’s storage in just a tap. • VISUAL SEARCH: Your photos are now searchable by the people, places and things in them—no tagging required. • SMARTER SHARING: With smart sharing suggestions, giving your friends the photos you took of them is painless. And they can add their photos, too, so you’ll finally get the photos you’re actually in. • MOVIES AND GIFS, MADE FOR YOU: Get automatically created movies, collages, GIFs, and more from your photos. Or easily create them yourself. • ADVANCED EDITING: Transform photos with a tap. Use intuitive and powerful photo and video editing tools to apply content-aware filters, adjust lighting, and more. • SMART AUTOMATIC ALBUMS: Tell better stories, without the work. Automatically get a new album with just your best shots after an event or trip, then invite others to add their photos. • LIVE ALBUMS: Share your latest photos with Live Albums. Select the people and pets you want to see and Google Photos will automatically add photos of them as you take them, no manual updates needed. • SHARED LIBRARIES: Share without sharing. Grant a trusted person access to all of your photos. • REDISCOVER: Get collages of photos you took a year ago on this day – perfect for #tbt. • GOOGLE LENS: Search what you see. This preview enables you to identify text and objects in your photos to learn more and take action. • ON YOUR TV: View your photos and videos on your TV with Chromecast and Airplay support. • FREE STORAGE: Back up unlimited photos and videos for free for up to 16 megapixels and 1080p HD and access them from any device and photos.google.com—your photos are safe, secure, and private to you. You can also upgrade storage for your Google Account, used for Original Quality photos and videos, Google Drive and Gmail by subscribing to Google One, an expanded storage plan. Subscriptions start at $1.99/month for 100 GB in the US. Pricing and availability can vary by region. Storage subscriptions purchased in-app will be charged to your iTunes Account, and automatically renew unless auto-renew is turned off at least 24 hours before the end of the current period. Subscriptions and auto-renewal may be managed by going to iTunes Account Settings after purchase. Google Privacy Policy: https://google.com/intl/en_US/policies/privacy Google One Terms of Service: https://one.google.com/terms-of-service Note: Face grouping is not available in all countries. For the latest updates from the team, follow us on Twitter at @googlephotos Using GPS in the background can decrease battery life. Google Photos doesn't run GPS in the background unless you turn on optional features."
967351793,Photo & Video,Layout from Instagram,,https://apps.apple.com/us/app/layout-from-instagram/id967351793,2015-03-22,4.5,49196,72-17-5-3-4,free,0,USD,No,"Instagram, Inc.",https://apps.apple.com/us/developer/instagram-inc/id389801255,"Create fun, one-of-a-kind layouts by remixing your own photos and sharing them with your friends.  Choose photos from your camera roll—or use the built-in Photo Booth to take spur-of-the-moment shots—and instantly see them laid out in various combinations. Pick the layout you like best, then edit it to make it your own. Layout's smooth, intuitive process gives you complete creative control. Tap to mirror, flip or replace images, hold and drag to swap them, pinch to zoom in or out, or pull the handles to resize. You're the editor, so get creative—tell a story, show off an outfit or just splice, dice and change the look of your regular photos to convey a mood or theme.  FEATURES * Re-mix up to 9 of your photos at a time to create fun, personalized layouts. * Use the Faces tab to quickly find photos with people in them.   * Capture the moment in Photo Booth mode with quick, spontaneous shots.   * Save your layouts to your camera roll and share them seamlessly to Instagram or other networks. * Easily see the last 30 photos you've selected in the Recents tab.  * Pair your layouts with Instagram's filters and creative tools afterwards to make them stand out even more.  * Download and start creating immediately. No signup or account required—and no clutter breaking up your flow."
448639966,Photo & Video,PicCollage Grid & Photo Editor,Make Video & Text Valentines,https://apps.apple.com/us/app/piccollage-grid-photo-editor/id448639966,2011-07-12,4.8,934438,85-10-3-1-1,free,0,USD,Offers In-App Purchases,Cardinal Blue,https://apps.apple.com/us/developer/cardinal-blue/id381057842,"Our starter pack in the app is full of free stickers to get you started collaging! PicCollage is the easiest and most fun app to edit photos!  Choose from hundreds of photo grids, exclusive stickers, and festive background patterns.  Use our intuitive tools to quickly clip, draw, and decorate your collages! ""Whether you're 6 or 106, you'll find the free Pic Collage app an excellent way to dress up your photo collection and share your handiwork."" -USA Today It could be the fastest way you'll ever find to organize a batch of photos ...  and can turn your image into a real postcard."" - LA Times Awesome Features - Grids: Instant layouts to quickly arrange photos from your gallery or Facebook. - Stickers &amp; Backgrounds: Thousands of exclusive stickers and backgrounds from collaborations with our favorite artists and illustrators. - Cards: Templates to quickly create unique messages for any holiday.  - Freestyle Mode: Lets you create collages that are 100% you. - Cut-Out: Snip your photos by tracing shapes with your finger. - Doodle: Draw on your collage to write messages, add emphasis, or illustrate something new.  - Sharing: After creating you can easily tap through to share your collage on your social accounts.  - Gifting: Print your photos on a custom phone case or turn them into a real holiday greeting card! Recent Updates -VIP Templates: VIP Subscribers now get even more exclusive goodies! Never-before-seen premium templates are now included in VIP with more coming in each update.  - Valentine’s Day Content:  Everything you need to make sweet cards, notes and posts for your loved ones.  - 2020 Content: New cards, stickers and backgrounds and even calendar templates!  Easy and Fast Create a photo collage in seconds with our photo grid feature. Get inspired with a wide variety of grid layouts and pre-designed cards OR use the freestyle mode to create a photo collage in your own unique style. PicCollage’s app interface is fun and friendly to give you the most options for how you want to create, without getting overwhelming.  Collaging should be relaxing and fun!  Unleash Your Creativity  PicCollage brings templates and customization together to give you everything you need to get inspired.  Create quick and easy collages to share during a party, or take your time and make a truly freestyle to flex your skills! PicCollage gives you everything you need to tell your story! PicCollage Premium  The PicCollage Premium is a subscription that provides access to enhanced features and ads and watermark removal. Plans: - Annual: $35.99 USD /year - Monthly: $4.99 USD /month Payments and Renewal: - The subscription fee is charged to your iTunes Account at confirmation of purchase. - The subscription auto-renews at the end of each period, unless auto-renew is turned off at least 24-hours before the end of the current period. - Account will be charged for renewal within 24-hours prior to the end of the current period per the plan you selected. - You may manage your subscription and turn off auto-renewal by going to your Apple Account Settings after purchase. - No cancellation of the current subscription is allowed during the active period. We’re so happy you choose us as your favorite photo collage and photo editor app and excited to see what you make! PicCollage(TM) and “Pic Collage” are trademarks of Cardinal Blue Software.  Terms of Service: http://cardinalblue.com/tos  Privacy Policy: https://cardinalblue.com/privacy"
587366035,Photo & Video,PicsArt Photo Editor + Collage,"Sticker, Pic & Video Maker",https://apps.apple.com/us/app/picsart-photo-editor-collage/id587366035,2013-01-01,4.7,258690,85-8-3-1-3,free,0,USD,Offers In-App Purchases,"PicsArt, Inc.",https://apps.apple.com/us/developer/picsart-inc/id587366038,"PicsArt is an all-in-one photo and video editor on mobile with impressive photo effects, drawing tools, image editor, collage maker, sticker maker, camera, photo filters, video editor, free image library, face editor with face swap, Beautify tools, and more! Unleash your creativity with the 14th most downloaded app worldwide in 2019 with over 700 million downloads to date. Start with your picture or one from our network and give it a crop, cut out, or grid.   PicsArt is home to the hugely popular Sketch effect, Glitch effect, vintage filters, aesthetic stickers, and more. AND it's FREE!   Show off your awesome pictures on Instagram with #picsart and you might be featured! PHOTO EDITOR Thousands of amazing tools for cropping, stretching, and cloning. A full library of artistic photo filters (including HDR), frames, backgrounds, and borders. Use brush mode for fine-tuning and make double exposures using layers with adjustable transparency. 100+ fonts make it easy to add text to pictures and create memes.   VIDEO EDITOR Some of our coolest photo features are now enabled for video. Bring your unique story to life by adding fun filters and stickers, then adjusting the size for social media. No professional experience required!   REMOVE OBJECTS TOOL  Quickly and easily remove any unwanted objects from any photo. Brush over the area you want gone and change the size of the brush as needed. Then let PicsArt work its magic. Use the Remove Tool on people, buildings, blemishes, lines, and more.    REPLAY Cut your editing time in half. Replay allows you to view editing steps (from start to finish) and easily apply them to your own image with just one tap per step. Each step is customizable to your liking. The PicsArt community adds hundreds of new Replays a day and recently added Replays are available to use at any time.   REMIX AND FREE-TO-EDIT IMAGES PicsArt was the first to allow image remixing on mobile! Start with any photo with the #freetoedit hashtag, add a personal touch by editing it your way, then share back to the PicsArt community.   SKETCH Take any selfie and create a sketch that looks hand drawn. The Sketch effect automatically detects the outline of your portrait and does the work for you. Change the background and line color to your liking. Five Sketch effects available.   PICSART GOLD Go Gold! PicsArt’s Gold subscription gives you access to THOUSANDS OF PREMIUM STICKERS, FONTS, FRAMES, COLLAGES, AND MASKS! We’re adding NEW EXCLUSIVE content all the time. All of this with an ad-free editing experience. Get over $3,000 worth of content for a nominal monthly or annual subscription fee. Start your PicsArt Gold membership with a free trial. Limit one free trial per account. Once the trial is over, you’ll be charged a nominal subscription fee. Your Gold subscription will automatically renew unless auto-renew is turned off at least 24 hours before the end of the current period. If your subscription is subject to any promotional discount, the discount will expire upon the end of the current period and you’ll be charged the standard rate upon renewal. Go to your iTunes Account under subscriptions to manage your membership and to turn auto-renew off. Your iTunes Account will be charged when the purchase is confirmed. Read more about our terms and conditions here: https://picsart.com/terms-and-conditions   FREE STICKERS &amp; STICKER MAKER PicsArt’s Cutout Tool lets you create and share custom Stickers out of any picture. 5 million+ free user-made Stickers and clipart are already available in-app. Add Stickers to pictures (30+ Stickers per edit), remix others’ images, and share them via iMessage.   COLLAGE MAKER AND GRIDS PicsArt’s collage maker provides 100+ free, easy-to-use templates. Make grid-style, templated, or freestyle collages.   DRAWING PicsArt Draw includes customizable brushes, layers, and professional drawing tools. About Ads: https://picsart.com/privacy-policy#interest-based"
1041596399,Photo & Video,Boomerang from Instagram,,https://apps.apple.com/us/app/boomerang-from-instagram/id1041596399,2015-10-21,4.1,11029,60-17-7-5-10,free,0,USD,No,"Instagram, Inc.",https://apps.apple.com/us/developer/instagram-inc/id389801255,"Boomerang from Instagram makes everyday moments fun and unexpected. Create captivating mini videos that loop back and forth, then share them with your friends. Find something (or someone!) that's moving, or create a video selfie by switching to the front-facing camera. There’s just one button. Tap it once and Boomerang does the rest: shoots a burst of 10 photos and turns them into a delightful mini video. Share it on Facebook and Instagram right from the app, or save your video to your camera roll to share later.  FEATURES * Take mini videos of your life and yourself using the front and back facing camera.  * Download and start capturing immediately. No sign up or account required. * There's just one button! The app takes 10 photos and stitches them together, speeds up the video and smooths out any bumps, then loops it back and forth. * Share your videos on Instagram and Facebook right from the app, or share them later from your camera roll."
454768104,Photo & Video,Pic Stitch - Collage Editor,#1 Photo and Video Collage App,https://apps.apple.com/us/app/pic-stitch-collage-editor/id454768104,2011-08-14,4.7,30840,86-8-2-1-3,free,0,USD,Offers In-App Purchases,"Super Basic, LLC.",https://apps.apple.com/us/developer/super-basic-llc/id1453243291,"* One of the Top 7 photo apps &amp; Top 100 apps of ALL TIME according to Mashable * Pic Stitch is a feature rich collage maker that stitches photos together with over 300 collage layouts, 20+ filters packs, 10+ border packs, robust video editing tools and allows you to add music to your memories.  Pic Stitch packs a simple design with a powerful photo editor to give you everything you could want to make your pictures simply amazing. Use Pic Stitch to create a before-and-after sequence, combine great photos into a collage, or produce a photographic series. Quickly combine multiple photos and videos into one beautifully framed picture. Then share your masterpiece on your favorite social media networks including Facebook, Twitter and Instagram.  Pic Stitch is known amongst the photography community as the ultimate photo editor with powerful collage making tools and templates. If you have ever wondered how social media influencers, bloggers or content creators combine several images into one glamorous frame, this is the secret tool they all use to make their photos pop! Pic Stitch packs an impressive amount of filters, effects, and editing tools to make your photos look their best. The best part is that the user interface is super easy to use and very fluid. Rearranging your photos, cropping them, and adding filters or adjusting settings can be accomplished in seconds. Also, if you take a lot of pictures of yourself or friends, Pic Stitch includes useful photo editing tools to adjust red eye, blemishes, and brightens selfies. Overview: – Over 300 different layouts – Works with photos and videos – 15 different photo aspect ratios optimized for sharing (i.e. 9x16 format for social stories) – Add music you own from Apple Music/iTunes  – Customize photo borders  – Easy to use UI – Amazing photo FX filters – Pan, rotate, flip, mirror and zoom – Share to Facebook, Twitter, Instagram and more – Save to your photo album – High resolution export Photo Editing Features: – Quick Enhance: hi-definition, scenery, food, portrait, night – Filter Packs: food, style, radiant, romance, noir, soleil, toy camera, wonderland, pop art, mystic, nostalgia, subtle, tital, wanderlust, jetset, spring, summer, beach, layer pro, cabin pro, grunge, brushes, visual fx, eeeeeats – Effects: exposure, brightness, contrast, structure, warmth, saturation, fade, highlights, shadows, vignette, sharpen – Stickers: decorate your photo collage with your favorite stickers powered by Giphy – Text Editor: insert text overlays and select your choice of font styles, colors, backgrounds, shadows and more – Audio Editor: add your favorite songs from Apple Music/iTunes to bring your pictures to life – Drawing Editor: add your own touch to each photo by selecting a drawing tool of your choice – Meme Editor: turn your photo collage into a meme with a simple template that adds text where it matters most – Watermark Editor: add your own brand logos or create custom watermarks with text, date and time stamps – Frame Editor: white, black, vertical, horizontal, banners, bars – Overlay Editor: circles, pentagons, squares, rectangles, diamonds, grid lines – Rotate &amp; Reflect: left, right, horizontal, vertical – Portrait Editors: blemish, blur, whiten, redeye, splash, sharpen, focus – Crop Tool: 1x1, 1x2, 2x1, 4x6, 6x4, 3x4, 4x3, 5x7, 7x5, 8x10, 10x8, 9x16, 16x9 Premium Features: – Border Packs: unlocks all add-ons including colors, textures, patterns, frame mats and more – Frame Packs: unlocks 170+ unique collage layouts + create your own layout – Unlock Everything: unlocks all premium features including all border packs, frame packs and also removes ads for the ultimate collage making experience  Your feedback helps us make the app better! If you have comments or suggestions please email us at contact@maplemedia.io * Mashable Mentions * http://mashable.com/2015/12/13/best-iphone-photo-apps-of-all-time http://mashable.com/2015/12/08/100-best-iphone-apps"
