id,name,subtitle,url,rating_value,rating_count,rating_count_list,artist_name,chart_name,chart_position,chart_genre_name,chart_genre_id
585027354,Google Maps - Transit & Food,"GPS, City Navigation & Traffic",https://apps.apple.com/us/app/google-maps-transit-food/id585027354,4.7,2984749,"[65687, 29872, 82491, 281492, 2525207]",Google LLC,top-free,1,Navigation,6010
422689480,Gmail - Email by Google,"Secure, fast & organized email",https://apps.apple.com/us/app/gmail-email-by-google/id422689480,4.3,167075,"[12278, 6115, 9163, 23479, 116040]",Google LLC,top-free,1,Productivity,6007
284815942,Google,"Search news, images and videos",https://apps.apple.com/us/app/google/id284815942,4.6,243440,"[11310, 5149, 8271, 23545, 195165]",Google LLC,top-free,1,Utilities,6002
535886823,Google Chrome,Fast & Secure Web Browser,https://apps.apple.com/us/app/google-chrome/id535886823,3.7,66994,"[11077, 5698, 6808, 10026, 33385]",Google LLC,top-free,2,Utilities,6002
507874739,Google Drive,Cloud storage space,https://apps.apple.com/us/app/google-drive/id507874739,4.8,2938520,"[60085, 20726, 69343, 254463, 2533903]",Google LLC,top-free,4,Productivity,6007
293622097,Google Earth,Gain a new perspective,https://apps.apple.com/us/app/google-earth/id293622097,4.2,13907,"[1484, 664, 1006, 1868, 8885]",Google LLC,top-free,6,Travel,6003
842842640,"Google Docs: Sync, Edit, Share",Edit Documents and Collaborate,https://apps.apple.com/us/app/google-docs-sync-edit-share/id842842640,4.8,1122935,"[20010, 7632, 25184, 98597, 971512]",Google LLC,top-free,3,Productivity,6007
414706506,Google Translate,Translate 103 languages,https://apps.apple.com/us/app/google-translate/id414706506,4.5,48913,"[2549, 1279, 2430, 4787, 37868]",Google LLC,top-free,2,Reference,6006
544007664,"YouTube: Watch, Listen, Stream","Videos, Music and Live Streams",https://apps.apple.com/us/app/youtube-watch-listen-stream/id544007664,4.7,12035653,"[307546, 129097, 343975, 1040330, 10214705]",Google LLC,top-free,1,Photo & Video,6008
447188370,Snapchat,Share the moment!,https://apps.apple.com/us/app/snapchat/id447188370,3.8,254069,"[45230, 13620, 19835, 31872, 143512]","Snap, Inc.",top-free,3,Photo & Video,6008
587366035,PicsArt Photo Editor + Collage,"Sticker, Pic & Video Maker",https://apps.apple.com/us/app/picsart-photo-editor-collage/id587366035,4.7,256550,"[7258, 3052, 7458, 20320, 218462]","PicsArt, Inc.",top-free,5,Photo & Video,6008
962194608,Google Photos,Smart Photo and Video Storage,https://apps.apple.com/us/app/google-photos/id962194608,4.7,226283,"[5505, 2778, 4764, 20023, 193213]",Google LLC,top-free,4,Photo & Video,6008
1180884341,FaceApp - AI Face Editor,Selfie Retouch & Backgrounds,https://apps.apple.com/us/app/faceapp-ai-face-editor/id1180884341,4.7,828034,"[19437, 8319, 25949, 62074, 712255]",FaceApp Inc,top-free,50,Photo & Video,6008
588013838,VSCO: Photo & Video Editor,"For creators, by creators",https://apps.apple.com/us/app/vsco-photo-video-editor/id588013838,4.4,32567,"[2638, 814, 1225, 3509, 24381]",Visual Supply Company,top-free,13,Photo & Video,6008
997362197,InShot - Video Editor,Video maker with music,https://apps.apple.com/us/app/inshot-video-editor/id997362197,4.8,662589,"[2829, 2912, 15617, 55266, 585965]",InstaShot Inc.,top-free,15,Photo & Video,6008
738897668,VivaVideo - Video Maker&Editor,Video Editor with Music,https://apps.apple.com/us/app/vivavideo-video-maker-editor/id738897668,4.7,112986,"[2378, 1594, 3188, 7663, 98163]",QuVideo Inc.,top-free,60,Photo & Video,6008
904209370,B612 - Beauty & Filter Camera,,https://apps.apple.com/us/app/b612-beauty-filter-camera/id904209370,4.6,44308,"[1561, 962, 1704, 3671, 36410]",SNOW INC.,top-free,153,Photo & Video,6008
439438619,Snapseed,Snapseed,https://apps.apple.com/us/app/snapseed/id439438619,3.9,4330,"[677, 292, 385, 612, 2364]",Google LLC,top-free,51,Photo & Video,6008
389801252,Instagram,,https://apps.apple.com/us/app/instagram/id389801252,4.8,15542768,"[282396, 111380, 367137, 1196218, 13585637]","Instagram, Inc.",top-free,2,Photo & Video,6008
544007664,"YouTube: Watch, Listen, Stream","Videos, Music and Live Streams",https://apps.apple.com/us/app/youtube-watch-listen-stream/id544007664,4.7,12035653,"[307546, 129097, 343975, 1040330, 10214705]",Google LLC,top-free,1,Photo & Video,6008
587366035,PicsArt Photo Editor + Collage,"Sticker, Pic & Video Maker",https://apps.apple.com/us/app/picsart-photo-editor-collage/id587366035,4.7,256550,"[7258, 3052, 7458, 20320, 218462]","PicsArt, Inc.",top-free,5,Photo & Video,6008
962194608,Google Photos,Smart Photo and Video Storage,https://apps.apple.com/us/app/google-photos/id962194608,4.7,226283,"[5505, 2778, 4764, 20023, 193213]",Google LLC,top-free,4,Photo & Video,6008
1180884341,FaceApp - AI Face Editor,Selfie Retouch & Backgrounds,https://apps.apple.com/us/app/faceapp-ai-face-editor/id1180884341,4.7,828034,"[19437, 8319, 25949, 62074, 712255]",FaceApp Inc,top-free,50,Photo & Video,6008
588013838,VSCO: Photo & Video Editor,"For creators, by creators",https://apps.apple.com/us/app/vsco-photo-video-editor/id588013838,4.4,32567,"[2638, 814, 1225, 3509, 24381]",Visual Supply Company,top-free,13,Photo & Video,6008
997362197,InShot - Video Editor,Video maker with music,https://apps.apple.com/us/app/inshot-video-editor/id997362197,4.8,662589,"[2829, 2912, 15617, 55266, 585965]",InstaShot Inc.,top-free,15,Photo & Video,6008
967351793,Layout from Instagram,,https://apps.apple.com/us/app/layout-from-instagram/id967351793,4.5,49196,"[1920, 1353, 2374, 8305, 35244]","Instagram, Inc.",top-free,10,Photo & Video,6008
738897668,VivaVideo - Video Maker&Editor,Video Editor with Music,https://apps.apple.com/us/app/vivavideo-video-maker-editor/id738897668,4.7,112986,"[2378, 1594, 3188, 7663, 98163]",QuVideo Inc.,top-free,60,Photo & Video,6008
364709193,Apple Books,Books & audiobooks you’ll love,https://apps.apple.com/us/app/apple-books/id364709193,0,0,"[0, 0, 0, 0, 0]",Apple,,,,
525463029,Apple Podcasts,Audio that informs & inspires,https://apps.apple.com/us/app/apple-podcasts/id525463029,0,0,"[0, 0, 0, 0, 0]",Apple,,,,
466122094,Find My Friends,,https://apps.apple.com/us/app/find-my-friends/id466122094,0,0,"[0, 0, 0, 0, 0]",Apple,,,,
490217893,iTunes U,Free educational courses,https://apps.apple.com/us/app/itunes-u/id490217893,3.3,3366,"[679, 426, 556, 551, 1154]",Apple,,,,
